Player,#,Selections,Notes
Kareem Abdul-Jabbar,19,1970 to 1977 and 1979 to 1989,Missed 1973 game
Kobe Bryant,18,1998 and 2000 to 2016,Missed 2010 and 2014 and and 2015 games
Tim Duncan,15,1998 and 2000 to 2011 and 2013 and 2015,
Kevin Garnett,15,1997 to 1998 and 2000 to 2011 and 2013,Missed 2008 game
Shaquille O'Neal,15,1993 to 1998 and 2000 to 2007 and 2009,Missed 1997 and 2001 and and 2002 games
Michael Jordan,14,1985 to 1993 and 1996 to 1998 and 2002 to 2003,Missed 1986 game
Karl Malone,14,1988 to 1998 and 2000 to 2002,Missed 1990 and 2002 games
Jerry West,14,1961 to 1974,Missed 1969 and 1974 games
Wilt Chamberlain,13,1960 to 1969 and 1971 to 1973,
Bob Cousy,13,1951 to 1963,
John Havlicek,13,1966 to 1978,
Dirk Nowitzki,13,2002 to 2012 and 2014 to 2015,
Larry Bird,12,1980 to 1988 and 1990 to 1992,Missed 1991 and 1992 games
Elvin Hayes,12,1969 to 1980,
LeBron James,12,2005 to 2016,
Magic Johnson,12,1980 and 1982 to 1992,Missed 1989 game
Moses Malone,12,1978 to 1989,Missed 1984 game and  also a one-time ABA All-Star
Hakeem Olajuwon,12,1985 to 1990 and 1992 to 1997,
Oscar Robertson,12,1961 to 1972,
Bill Russell,12,1958 to 1969,
Dolph Schayes,12,1951 to 1962,Missed 1952 game
Isiah Thomas,12,1982 to 1993,Missed 1991 game
Dwyane Wade,12,2005 to 2016,Missed 2015 game
Charles Barkley,11,1987 to 1997,Missed 1994 and 1997 games
Elgin Baylor,11,1959 to 1965 and 1967 to 1970,
Chris Bosh,11,2006 to 2016,Missed 2009 game
Julius Erving,11,1977 to 1987,Also a five-time ABA All-Star
Patrick Ewing,11,1986 and 1988 to 1997,Missed 1986 and 1997 games
Allen Iverson,11,2000 to 2010,Missed 2007 and 2010 games
Bob Pettit,11,1955 to 1965,
Ray Allen,10,2000 to 2002 and 2004 to 2009 and 2011,
Paul Arizin,10,1951 to 1952 and 1955 to 1962,Missed 1960 game
Clyde Drexler,10,1986 and 1988 to 1994 and 1996 to 1997,Missed 1997 game
Hal Greer,10,1961 to 1970,
Jason Kidd,10,1996 and 1998 and 2000 to 2004 and 2007 to 2008 and 2010,Missed 2007 game
Paul Pierce,10,2002 to 2006 and 2008 to 2012,
David Robinson,10,1990 to 1996 and 1998 and 2000 to 2001,
John Stockton,10,1989 to 1997 and 2000,
Carmelo Anthony,9,2007 to 2008 and 2010 to 2016,
George Gervin,9,1977 to 1985,Also a three-time ABA All-Star
Robert Parish,9,1981 to 1987 and 1990 to 1991,
Chris Paul,9,2008 to 2016,Missed 2010 game
Gary Payton,9,1994 to 1998 and 2000 to 2003,
Lenny Wilkens,9,1963 to 1965 and 1967 to 1971 and 1973,
Dominique Wilkins,9,1986 to 1994,Missed 1992 game
Rick Barry,8,1966 to 1967 and 1973 to 1978,Missed 1973 game and  also a four-time ABA All-Star
Vince Carter,8,2000 to 2007,Missed 2002 game
Dave DeBusschere,8,1966 to 1968 and 1970 to 1974,
Alex English,8,1982 to 1989,
Larry Foust,8,1951 to 1956 and 1958 to 1959,Missed 1952 game
Dwight Howard,8,2007 to 2014,
Bob Lanier,8,1972 to 1975 and 1977 to 1979 and 1982,
Dikembe Mutombo,8,1992 and 1995 to 1998 and 2000 to 2002,
Steve Nash,8,2002 to 2003 and 2005 to 2008 and 2010 and 2012,Missed 2007 game
Bill Sharman,8,1953 to 1960,
Yao Ming,8,2003 to 2009 and 2011,Missed 2007 and 2011 games
Dave Bing,7,1968 to 1969 and 1971 and 1973 to 1976,
Dave Cowens,7,1972 to 1978,Missed 1977 game
Kevin Durant,7,2010 to 2016,
Walt Frazier,7,1970 to 1976,
Harry Gallatin,7,1951 to 1957,
Grant Hill,7,1995 to 1998 and 2000 to 2001 and 2005,Missed 2001 game
Joe Johnson,7,2007 to 2012 and 2014,Missed 2012 game
Jerry Lucas,7,1964 to 1969 and 1971,
Ed Macauley,7,1951 to 1957,
Slater Martin,7,1953 to 1959,
Tracy McGrady,7,2001 to 2007,
Dick McGuire,7,1951 to 1952 and 1954 to 1956 and 1958 to 1959,
Kevin McHale,7,1984 and 1986 to 1991,
Alonzo Mourning,7,1994 to 1997 and 2000 to 2002,Missed 1994 and 1997 and 2001 games
Scottie Pippen,7,1990 and 1992 to 1997,
Willis Reed,7,1965 to 1971,
Jack Sikma,7,1979 to 1985,
Nate Thurmond,7,1965 to 1968 and 1970 and 1973 to 1974,Missed 1968 and 1970 games
Chet Walker,7,1964 and 1966 to 1967 and 1970 to 1971 and 1973 to 1974,
Jo Jo White,7,1971 to 1977,
James Worthy,7,1986 to 1992,
Nate Archibald,6,1973 and 1975 to 1976 and 1980 to 1982,
Larry Costello,6,1958 to 1962 and 1965,Missed 1962 game
Adrian Dantley,6,1980 to 1982 and 1984 to 1986,
Walter Davis,6,1978 to 1981 and 1984 and 1987,
Joe Dumars,6,1990 to 1993 and 1995 and 1997,
Pau Gasol,6,2006 and 2009 to 2011 and 2015 to 2016,
Artis Gilmore,6,1978 to 1979 and 1981 to 1983 and 1986,Also a five-time ABA All-Star
